               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 123,            0.016641,           0.0081669,                   0,             0.98708,             0.99491,             0.99277,             0.92969,           0.0092824,           0.0024471,                   0,           0.0075844,           0.0075844,           0.0075844
                 124,            0.016389,           0.0081156,                   0,             0.98738,             0.99526,             0.99278,             0.93014,           0.0092808,           0.0024461,                   0,           0.0075646,           0.0075646,           0.0075646
                 125,            0.016292,           0.0076861,                   0,               0.987,             0.99526,             0.99283,             0.93022,           0.0093142,           0.0024509,                   0,           0.0075448,           0.0075448,           0.0075448
                 126,            0.016877,           0.0080933,                   0,             0.98831,             0.99448,             0.99287,             0.92984,           0.0093401,           0.0024512,                   0,            0.007525,            0.007525,            0.007525
                 127,            0.016353,           0.0078516,                   0,             0.98815,             0.99526,             0.99285,             0.92865,           0.0093517,           0.0024563,                   0,           0.0075052,           0.0075052,           0.0075052
                 128,            0.016795,           0.0080032,                   0,             0.98706,             0.99487,             0.99291,             0.93007,            0.009318,           0.0024536,                   0,           0.0074854,           0.0074854,           0.0074854
                 129,            0.016482,             0.00804,                   0,             0.98703,             0.99487,             0.99286,             0.93009,           0.0092883,           0.0024532,                   0,           0.0074656,           0.0074656,           0.0074656
                 130,            0.016448,           0.0079598,                   0,             0.98786,             0.99512,             0.99288,              0.9295,           0.0092845,           0.0024552,                   0,           0.0074458,           0.0074458,           0.0074458
                 131,            0.016417,           0.0080588,                   0,             0.98775,             0.99526,             0.99287,             0.92928,           0.0092962,           0.0024522,                   0,            0.007426,            0.007426,            0.007426
                 132,            0.016558,           0.0079496,                   0,             0.98773,             0.99526,             0.99292,             0.92989,           0.0092591,           0.0024477,                   0,           0.0074062,           0.0074062,           0.0074062
                 133,            0.016546,           0.0079803,                   0,             0.98809,             0.99487,             0.99286,             0.93104,           0.0092042,           0.0024394,                   0,           0.0073864,           0.0073864,           0.0073864
                 134,            0.016794,           0.0082365,                   0,             0.98707,             0.99417,             0.99289,             0.93093,           0.0091728,           0.0024373,                   0,           0.0073666,           0.0073666,           0.0073666
                 135,            0.016441,           0.0080378,                   0,             0.98783,             0.99317,             0.99296,             0.93102,           0.0091664,           0.0024381,                   0,           0.0073468,           0.0073468,           0.0073468
                 136,            0.015744,           0.0075702,                   0,             0.98861,             0.99344,             0.99294,             0.93102,            0.009138,           0.0024337,                   0,            0.007327,            0.007327,            0.007327
                 137,            0.016454,           0.0079815,                   0,             0.98888,             0.99369,             0.99292,             0.93108,           0.0091325,           0.0024355,                   0,           0.0073072,           0.0073072,           0.0073072
                 138,            0.016509,            0.007623,                   0,             0.98888,             0.99448,             0.99287,             0.93104,           0.0090876,           0.0024298,                   0,           0.0072874,           0.0072874,           0.0072874
                 139,            0.015758,           0.0076191,                   0,               0.989,             0.99385,             0.99284,             0.93092,           0.0090705,           0.0024283,                   0,           0.0072676,           0.0072676,           0.0072676
